"Date","Season","TimeOfDay","sex","race","age","AgeGrp","ethnicity","Frisk_Searched"
"9/29/19","Fall","DayTime","Male","Black",39,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","White",41,"Adult","Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",31,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",22,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",16,"Minor","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",15,"Minor","NULL","No"
"9/29/19","Fall","Nighttime","Male","Black",28,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","White",29,"Adult","Unknown","No"
"9/29/19","Fall","Nighttime","Male","White",37,"Adult","Unknown","No"
"9/29/19","Fall","Nighttime","Male","White",23,"Adult","Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",22,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",17,"Minor","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",31,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",29,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",33,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",30,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Female","White",38,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",NA,"Unknown","Unknown","Yes"
"9/29/19","Fall","Nighttime","Male","Black",NA,"Unknown","Unknown","No"
"9/29/19","Fall","Nighttime","Male","Black",20,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",36,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",21,"Adult","NULL","No"
"9/29/19","Fall","Nighttime","Male","Black",22,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",21,"Adult","NULL","No"
"9/29/19","Fall","Nighttime","Male","Black",50,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",23,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",17,"Minor","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",18,"Minor","Not of Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Female","Other",29,"Adult","Hispanic Origin","No"
"9/29/19","Fall","Nighttime","Male","Black",29,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","DayTime","Male","White",44,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","DayTime","Male","Black",25,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","EarlyMorning","Female","Black",20,"Adult","NULL","No"
"9/30/19","Fall","EarlyMorning","Male","Black",29,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","EarlyMorning","Male","Black",26,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","EarlyMorning","Male","White",57,"Senior","Not of Hispanic Origin","No"
"9/30/19","Fall","EarlyMorning","Male","White",45,"Adult","Not of Hispanic Origin","Unknown"
"9/30/19","Fall","EarlyMorning","Male","Black",29,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","EarlyMorning","Male","Black",27,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","EarlyMorning","Male","Black",43,"Adult","Hispanic Origin","Yes"
"9/30/19","Fall","EarlyMorning","Male","Black",33,"Adult","Not of Hispanic Origin","Yes"
"9/30/19","Fall","EarlyMorning","Female","Black",22,"Adult","Not of Hispanic Origin","Yes"
"9/30/19","Fall","DayTime","Female","White",21,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","DayTime","Male","Black",23,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","DayTime","Male","White",49,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","DayTime","Male","White",24,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","DayTime","Male","White",41,"Adult","Hispanic Origin","No"
"9/30/19","Fall","DayTime","Male","White",41,"Adult","Not of Hispanic Origin","Yes"
"9/30/19","Fall","DayTime","Male","White",46,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","DayTime","Male","Asian",27,"Adult","Not of Hispanic Origin","Yes"
"9/30/19","Fall","DayTime","Male","Black",26,"Adult","NULL","Yes"
"9/30/19","Fall","DayTime","Male","Black",18,"Minor","Unknown","Yes"
"9/30/19","Fall","DayTime","Male","Black",NA,"Unknown","Unknown","Yes"
"9/30/19","Fall","DayTime","Male","White",20,"Adult","Not of Hispanic Origin","Yes"
"9/30/19","Fall","DayTime","Male","White",32,"Adult","Hispanic Origin","Yes"
"9/30/19","Fall","DayTime","Male","White",36,"Adult","NULL","No"
"9/30/19","Fall","DayTime","Male","White",49,"Adult","NULL","No"
"9/30/19","Fall","DayTime","Male","White",42,"Adult","NULL","No"
"9/30/19","Fall","DayTime","Male","White",20,"Adult","NULL","No"
"9/30/19","Fall","DayTime","Female","Black",53,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","DayTime","Female","Black",54,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","DayTime","Male","Black",19,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","Nighttime","Male","Black",28,"Adult","Hispanic Origin","No"
"9/30/19","Fall","Nighttime","Female","Black",NA,"Unknown","NULL","No"
"9/30/19","Fall","Nighttime","Male","Black",39,"Adult","Not of Hispanic Origin","No"
"9/30/19","Fall","Nighttime","Female","Black",44,"Adult","Not of Hispanic Origin","Unknown"
"9/30/19","Fall","Nighttime","Male","White",21,"Adult","Not of Hispanic Origin","Unknown"
"9/30/19","Fall","Nighttime","Male","Black",31,"Adult","NULL","Yes"
"9/30/19","Fall","Nighttime","Male","White",33,"Adult","Not of Hispanic Origin","Yes"
"9/30/19","Fall","Nighttime","Male","Black",20,"Adult","Not of Hispanic Origin","Yes"
"9/30/19","Fall","Nighttime","Male","White",32,"Adult","Hispanic Origin","Yes"
"9/30/19","Fall","Nighttime","Male","Black",18,"Minor","Hispanic Origin","Yes"
"9/30/19","Fall","Nighttime","Male","Black",18,"Minor","Not of Hispanic Origin","Yes"
"9/30/19","Fall","Nighttime","Male","Black",18,"Minor","Not of Hispanic Origin","Yes"
"9/30/19","Fall","Nighttime","Male","Black",17,"Minor","Not of Hispanic Origin","Yes"
"9/30/19","Fall","Nighttime","Male","White",19,"Adult","Hispanic Origin","No"
"9/30/19","Fall","Nighttime","Male","White",19,"Adult","NULL","Yes"
"9/30/19","Fall","Nighttime","Male","Black",41,"Adult","Unknown","Yes"
"10/1/19","Fall","DayTime","Male","Black",29,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","DayTime","Male","Black",33,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","DayTime","Male","White",25,"Adult","Not of Hispanic Origin","Unknown"
"10/1/19","Fall","DayTime","Male","Black",24,"Adult","NULL","Yes"
"10/1/19","Fall","DayTime","Male","Black",23,"Adult","NULL","Yes"
"10/1/19","Fall","DayTime","Male","White",19,"Adult","Hispanic Origin","Yes"
"10/1/19","Fall","DayTime","Male","Black",33,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","DayTime","Male","Black",28,"Adult","NULL","Yes"
"10/1/19","Fall","DayTime","Unknown","NULL",NA,"Unknown","NULL","No"
"10/1/19","Fall","DayTime","Male","Black",25,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","DayTime","Male","Black",30,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","DayTime","Male","Black",60,"Senior","NULL","No"
"10/1/19","Fall","EarlyMorning","Male","Black",28,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","EarlyMorning","Male","Black",28,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","EarlyMorning","Male","Black",21,"Adult","Hispanic Origin","No"
"10/1/19","Fall","EarlyMorning","Male","Black",16,"Minor","Hispanic Origin","No"
"10/1/19","Fall","EarlyMorning","Male","White",32,"Adult","NULL","Yes"
"10/1/19","Fall","EarlyMorning","Female","Black",30,"Adult","NULL","Yes"
"10/1/19","Fall","EarlyMorning","Male","Black",30,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","DayTime","Male","Unknown",28,"Adult","NULL","Yes"
"10/1/19","Fall","DayTime","Male","Black",28,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","DayTime","Male","Black",22,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","DayTime","Female","White",26,"Adult","Hispanic Origin","Unknown"
"10/1/19","Fall","DayTime","Male","White",52,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","DayTime","Female","Black",30,"Adult","Not of Hispanic Origin","Unknown"
"10/1/19","Fall","DayTime","Male","Black",30,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","DayTime","Female","Black",64,"Senior","Hispanic Origin","No"
"10/1/19","Fall","DayTime","Female","Black",63,"Senior","Not of Hispanic Origin","No"
"10/1/19","Fall","DayTime","Male","Black",34,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","DayTime","Female","Black",67,"Senior","Not of Hispanic Origin","No"
"10/1/19","Fall","DayTime","Male","White",40,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","DayTime","Male","White",39,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","Nighttime","Male","Black",20,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",27,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",28,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",23,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",31,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",21,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",17,"Minor","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",20,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",22,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",29,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",37,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",22,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","White",18,"Minor","Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",27,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",24,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",17,"Minor","Unknown","No"
"10/1/19","Fall","Nighttime","Male","Black",24,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",20,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",29,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",19,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","Nighttime","Male","Black",24,"Adult","Unknown","No"
"10/1/19","Fall","Nighttime","Male","Black",27,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",18,"Minor","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",17,"Minor","NULL","No"
"10/1/19","Fall","Nighttime","Male","Black",20,"Adult","NULL","No"
"10/1/19","Fall","Nighttime","Male","Black",21,"Adult","Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",22,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","Nighttime","Male","Black",34,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","Nighttime","Male","Black",58,"Senior","Not of Hispanic Origin","Yes"
"10/1/19","Fall","Nighttime","Male","Black",37,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Female","Black",45,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Female","White",41,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","White",36,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","White",50,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",17,"Minor","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",22,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",39,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","Nighttime","Male","Black",39,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","Nighttime","Male","White",23,"Adult","Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","White",30,"Adult","Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",28,"Adult","Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",32,"Adult","Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",25,"Adult","Not of Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Female","Black",44,"Adult","Not of Hispanic Origin","Unknown"
"10/1/19","Fall","Nighttime","Male","Black",30,"Adult","Hispanic Origin","Yes"
"10/1/19","Fall","Nighttime","Male","Black",52,"Adult","Unknown","Yes"
"10/1/19","Fall","Nighttime","Male","Black",43,"Adult","Hispanic Origin","No"
"10/1/19","Fall","Nighttime","Male","Black",24,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","Nighttime","Male","Black",20,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","Nighttime","Male","Black",19,"Adult","NULL","Yes"
"10/1/19","Fall","Nighttime","Male","Black",21,"Adult","Not of Hispanic Origin","Yes"
"10/1/19","Fall","Nighttime","Male","Black",19,"Adult","Unknown","Yes"
"10/2/19","Fall","EarlyMorning","Female","Unknown",26,"Adult","NULL","No"
"10/2/19","Fall","EarlyMorning","Male","White",32,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","EarlyMorning","Male","Asian",31,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","EarlyMorning","Male","Black",31,"Adult","Unknown","No"
"10/2/19","Fall","EarlyMorning","Male","White",25,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","EarlyMorning","Male","White",39,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","EarlyMorning","Male","Black",21,"Adult","Hispanic Origin","No"
"10/2/19","Fall","EarlyMorning","Male","Black",22,"Adult","Not of Hispanic Origin","Yes"
"10/2/19","Fall","EarlyMorning","Male","Black",35,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","EarlyMorning","Male","Black",25,"Adult","Not of Hispanic Origin","Yes"
"10/2/19","Fall","EarlyMorning","Male","Black",21,"Adult","Not of Hispanic Origin","Yes"
"10/2/19","Fall","DayTime","Female","Black",57,"Senior","Hispanic Origin","Yes"
"10/2/19","Fall","DayTime","Male","White",44,"Adult","Hispanic Origin","No"
"10/2/19","Fall","DayTime","Male","Black",24,"Adult","Not of Hispanic Origin","Yes"
"10/2/19","Fall","DayTime","Male","Black",29,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","DayTime","Male","Black",24,"Adult","Not of Hispanic Origin","Yes"
"10/2/19","Fall","DayTime","Male","Black",22,"Adult","Not of Hispanic Origin","Yes"
"10/2/19","Fall","DayTime","Male","Black",22,"Adult","Not of Hispanic Origin","Yes"
"10/2/19","Fall","DayTime","Male","Black",37,"Adult","Not of Hispanic Origin","Yes"
"10/2/19","Fall","DayTime","Male","White",52,"Adult","Not of Hispanic Origin","Yes"
"10/2/19","Fall","DayTime","Female","White",51,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","DayTime","Male","Black",23,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","DayTime","Female","Black",56,"Senior","Not of Hispanic Origin","No"
"10/2/19","Fall","Nighttime","Male","Black",24,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","Nighttime","Male","White",52,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","Nighttime","Male","Black",NA,"Unknown","Unknown","No"
"10/2/19","Fall","Nighttime","Male","Black",NA,"Unknown","Unknown","No"
"10/2/19","Fall","Nighttime","Male","White",38,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","Nighttime","Male","White",21,"Adult","Hispanic Origin","No"
"10/2/19","Fall","Nighttime","Male","White",27,"Adult","Not of Hispanic Origin","No"
"10/2/19","Fall","Nighttime","Male","White",26,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","DayTime","Male","Black",33,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","DayTime","Male","Unknown",47,"Adult","NULL","No"
"10/3/19","Fall","DayTime","Male","White",34,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Female","White",27,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","Black",21,"Adult","Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","Black",45,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","Black",35,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","White",32,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","Black",36,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Female","White",25,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Female","White",45,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","Black",34,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","White",54,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","White",42,"Adult","Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","White",29,"Adult","Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","White",31,"Adult","Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","Black",27,"Adult","Not of Hispanic Origin","Yes"
"10/3/19","Fall","EarlyMorning","Male","Black",24,"Adult","Hispanic Origin","Yes"
"10/3/19","Fall","EarlyMorning","Male","Black",48,"Adult","Not of Hispanic Origin","Yes"
"10/3/19","Fall","EarlyMorning","Female","Black",30,"Adult","NULL","No"
"10/3/19","Fall","EarlyMorning","Male","White",36,"Adult","Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Female","White",35,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","White",40,"Adult","Hispanic Origin","No"
"10/3/19","Fall","EarlyMorning","Male","Black",23,"Adult","Not of Hispanic Origin","Yes"
"10/3/19","Fall","EarlyMorning","Male","Black",37,"Adult","Not of Hispanic Origin","Yes"
"10/3/19","Fall","EarlyMorning","Male","Black",14,"Minor","Not of Hispanic Origin","Yes"
"10/3/19","Fall","DayTime","Female","White",43,"Adult","Not of Hispanic Origin","Yes"
"10/3/19","Fall","DayTime","Male","White",26,"Adult","NULL","Yes"
"10/3/19","Fall","DayTime","Female","White",25,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","DayTime","Male","Black",35,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","DayTime","Male","Black",22,"Adult","NULL","No"
"10/3/19","Fall","DayTime","Female","Other",38,"Adult","Unknown","No"
"10/3/19","Fall","DayTime","Male","White",28,"Adult","Unknown","Unknown"
"10/3/19","Fall","DayTime","Male","Black",56,"Senior","Not of Hispanic Origin","Yes"
"10/3/19","Fall","DayTime","Male","White",65,"Senior","Not of Hispanic Origin","No"
"10/3/19","Fall","DayTime","Male","White",31,"Adult","Hispanic Origin","Yes"
"10/3/19","Fall","DayTime","Male","White",40,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","DayTime","Female","Black",39,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","DayTime","Male","White",27,"Adult","Unknown","Yes"
"10/3/19","Fall","DayTime","Female","White",29,"Adult","Not of Hispanic Origin","Yes"
"10/3/19","Fall","DayTime","Male","Black",56,"Senior","Not of Hispanic Origin","No"
"10/3/19","Fall","DayTime","Male","Black",31,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","DayTime","Male","White",28,"Adult","Hispanic Origin","No"
"10/3/19","Fall","DayTime","Male","White",36,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","Nighttime","Male","White",28,"Adult","NULL","No"
"10/3/19","Fall","Nighttime","Male","White",49,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","Nighttime","Male","White",21,"Adult","Hispanic Origin","No"
"10/3/19","Fall","Nighttime","Male","Black",40,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","Nighttime","Male","Black",31,"Adult","NULL","No"
"10/3/19","Fall","Nighttime","Female","White",42,"Adult","Not of Hispanic Origin","Yes"
"10/3/19","Fall","Nighttime","Male","Black",35,"Adult","Not of Hispanic Origin","Yes"
"10/3/19","Fall","Nighttime","Male","Black",35,"Adult","Not of Hispanic Origin","Yes"
"10/3/19","Fall","Nighttime","Male","Black",20,"Adult","Not of Hispanic Origin","No"
"10/3/19","Fall","Nighttime","Male","Black",16,"Minor","Hispanic Origin","No"
"10/3/19","Fall","Nighttime","Male","Black",20,"Adult","Hispanic Origin","No"
"10/3/19","Fall","Nighttime","Male","White",19,"Adult","Hispanic Origin","No"
"10/3/19","Fall","Nighttime","Male","Black",23,"Adult","Not of Hispanic Origin","No"
"10/4/19","Fall","EarlyMorning","Male","White",37,"Adult","Hispanic Origin","No"
"10/4/19","Fall","EarlyMorning","Male","White",30,"Adult","Not of Hispanic Origin","No"
"10/4/19","Fall","DayTime","Male","Other",22,"Adult","Unknown","Yes"
"10/4/19","Fall","DayTime","Male","White",32,"Adult","Hispanic Origin","No"
"10/4/19","Fall","DayTime","Male","White",57,"Senior","NULL","No"
"10/4/19","Fall","DayTime","Male","White",22,"Adult","Hispanic Origin","No"
"10/4/19","Fall","DayTime","Female","Black",41,"Adult","Unknown","No"
"10/4/19","Fall","DayTime","Male","Black",40,"Adult","Not of Hispanic Origin","Unknown"
"10/4/19","Fall","DayTime","Male","Black",28,"Adult","Not of Hispanic Origin","No"
"10/4/19","Fall","DayTime","Male","Black",18,"Minor","Hispanic Origin","No"
"10/4/19","Fall","DayTime","Male","White",30,"Adult","Not of Hispanic Origin","No"
"10/4/19","Fall","DayTime","Female","White",51,"Adult","NULL","No"
"10/4/19","Fall","DayTime","Female","White",40,"Adult","Not of Hispanic Origin","Unknown"
"10/4/19","Fall","DayTime","Female","Black",34,"Adult","Not of Hispanic Origin","No"
"10/4/19","Fall","DayTime","Female","Black",23,"Adult","Not of Hispanic Origin","No"
"10/4/19","Fall","Nighttime","Male","NULL",NA,"Unknown","NULL","Unknown"
"10/4/19","Fall","Nighttime","Male","White",19,"Adult","Hispanic Origin","Yes"
"10/4/19","Fall","Nighttime","Male","White",28,"Adult","Not of Hispanic Origin","No"
"10/4/19","Fall","Nighttime","Female","White",42,"Adult","Hispanic Origin","Yes"
"10/4/19","Fall","Nighttime","Male","Black",30,"Adult","Not of Hispanic Origin","Yes"
"10/4/19","Fall","Nighttime","Male","Unknown",37,"Adult","Unknown","Yes"
"10/4/19","Fall","Nighttime","Male","Black",24,"Adult","Hispanic Origin","No"
"10/4/19","Fall","Nighttime","Male","White",41,"Adult","Hispanic Origin","No"
"10/4/19","Fall","Nighttime","Male","White",23,"Adult","Hispanic Origin","No"
"10/4/19","Fall","Nighttime","Male","Black",21,"Adult","Not of Hispanic Origin","Yes"
